Fechas,Presión
2017/5/13 20:30:00,954.1601
2017/5/13 20:40:00,954.1818
2017/5/13 20:50:00,954.1561
2017/5/13 21:00:00,954.1574
2017/5/13 21:10:00,954.2062
2017/5/13 21:20:00,954.0937
2017/5/13 21:30:00,953.9635
2017/5/13 21:40:00,953.9296
2017/5/13 21:50:00,953.8808
2017/5/13 22:00:00,953.6828
2017/5/13 22:10:00,953.5092
2017/5/13 22:20:00,953.2449
2017/5/13 22:30:00,953.3005
2017/5/13 22:40:00,953.2828
2017/5/13 22:50:00,953.3058
2017/5/13 23:00:00,953.3561
2017/5/13 23:10:00,953.4415
2017/5/13 23:20:00,953.3506
2017/5/13 23:30:00,953.4075
2017/5/13 23:40:00,953.4347
2017/5/13 23:50:00,953.3926
2017/5/14 0:00:00,953.2611
2017/5/14 0:10:00,953.2109
2017/5/14 0:20:00,953.2598
2017/5/14 0:30:00,953.2069
2017/5/14 0:40:00,953.2069
2017/5/14 0:50:00,953.2354
2017/5/14 1:00:00,953.3479
2017/5/14 1:10:00,953.2787
2017/5/14 1:20:00,953.3506
2017/5/14 1:30:00,953.4564
2017/5/14 1:40:00,953.375
2017/5/14 1:50:00,953.2761
2017/5/14 2:00:00,953.3005
2017/5/14 2:10:00,953.4293
2017/5/14 2:20:00,953.4605
2017/5/14 2:30:00,953.4645
2017/5/14 2:40:00,953.4645
2017/5/14 2:50:00,953.5323
2017/5/14 3:00:00,953.4578
2017/5/14 3:10:00,953.2272
2017/5/14 3:20:00,953.0944
2017/5/14 3:30:00,953.2787
2017/5/14 3:40:00,953.017
2017/5/14 3:50:00,952.8459
2017/5/14 4:00:00,952.8256
2017/5/14 4:10:00,952.6693
2017/5/14 4:20:00,952.4838
2017/5/14 4:30:00,952.4047
2017/5/14 4:40:00,952.249
2017/5/14 4:50:00,951.9468
2017/5/14 5:00:00,952.1226
2017/5/14 5:10:00,952.2689
2017/5/14 5:20:00,952.2712
2017/5/14 5:30:00,952.3931
2017/5/14 5:40:00,952.4865
2017/5/14 5:50:00,952.4692
2017/5/14 6:00:00,952.5387
2017/5/14 6:10:00,952.5742
2017/5/14 6:20:00,952.4024
2017/5/14 6:30:00,952.365
2017/5/14 6:40:00,952.4106
2017/5/14 6:50:00,952.286
2017/5/14 7:00:00,952.1731
2017/5/14 7:10:00,952.241
2017/5/14 7:20:00,952.3801
2017/5/14 7:30:00,952.3545
2017/5/14 7:40:00,952.246
2017/5/14 7:50:00,952.2551
2017/5/14 8:00:00,952.2252
2017/5/14 8:10:00,952.1628
2017/5/14 8:20:00,952.1588
2017/5/14 8:30:00,952.1072
2017/5/14 8:40:00,952.152
2017/5/14 8:50:00,952.2605
2017/5/14 9:00:00,952.3798
2017/5/14 9:10:00,952.514
2017/5/14 9:20:00,952.6627
2017/5/14 9:30:00,952.9094
2017/5/14 9:40:00,953.0508
2017/5/14 9:50:00,953.2211
2017/5/14 10:00:00,953.4124
2017/5/14 10:10:00,953.7547
2017/5/14 10:20:00,953.9957
2017/5/14 10:30:00,954.1403
2017/5/14 10:40:00,954.2333
2017/5/14 10:50:00,954.3723
2017/5/14 11:00:00,954.4525
2017/5/14 11:10:00,954.59
2017/5/14 11:20:00,954.6374
2017/5/14 11:30:00,954.8977
2017/5/14 11:40:00,955.0564
2017/5/14 11:50:00,955.2502
2017/5/14 12:00:00,955.2937
2017/5/14 12:10:00,955.3018
2017/5/14 12:20:00,955.3221
2017/5/14 12:30:00,955.4537
2017/5/14 12:40:00,955.6002
2017/5/14 12:50:00,955.7004
2017/5/14 13:00:00,955.7438
2017/5/14 13:10:00,955.8577
2017/5/14 13:20:00,955.8984
2017/5/14 13:30:00,956.0015
2017/5/14 13:40:00,955.8971
2017/5/14 13:50:00,956.0096
2017/5/14 14:00:00,956.0313
2017/5/14 14:10:00,956.1222
2017/5/14 14:20:00,956.1412
2017/5/14 14:30:00,956.0585
2017/5/14 14:40:00,956.0828
2017/5/14 14:50:00,956.213
2017/5/14 15:00:00,956.0082
2017/5/14 15:10:00,956.4232
2017/5/14 15:20:00,955.8862
2017/5/14 15:30:00,955.6422
2017/5/14 15:40:00,955.6557
2017/5/14 15:50:00,955.6422
2017/5/14 16:00:00,955.5527
2017/5/14 16:10:00,955.7953
2017/5/14 16:20:00,955.4198
2017/5/14 16:30:00,955.2598
2017/5/14 16:40:00,955.2177
2017/5/14 16:50:00,955.3126
2017/5/14 17:00:00,955.2774
2017/5/14 17:10:00,955.1689
2017/5/14 17:20:00,955.1744
2017/5/14 17:30:00,955.1784
2017/5/14 17:40:00,955.1133
2017/5/14 17:50:00,954.998
2017/5/14 18:00:00,954.8625
2017/5/14 18:10:00,954.9682
2017/5/14 18:20:00,955.1771
2017/5/14 18:30:00,955.2421
2017/5/14 18:40:00,955.215
2017/5/14 18:50:00,955.2571
2017/5/14 19:00:00,955.3859
2017/5/14 19:10:00,955.3289
2017/5/14 19:20:00,955.3777
2017/5/14 19:30:00,955.3859
2017/5/14 19:40:00,955.5038
2017/5/14 19:50:00,955.6407
2017/5/14 20:00:00,955.7859
2017/5/14 20:10:00,955.8035
2017/5/14 20:20:00,955.832
2017/5/14 20:30:00,955.8469
2017/5/14 20:40:00,955.9404
2017/5/14 20:50:00,956.0449
2017/5/14 21:00:00,955.9988
2017/5/14 21:10:00,955.996
2017/5/14 21:20:00,955.9106
2017/5/14 21:30:00,955.8699
2017/5/14 21:40:00,955.7479
2017/5/14 21:50:00,955.7181
2017/5/14 22:00:00,955.7762
2017/5/14 22:10:00,955.7943
2017/5/14 22:20:00,955.8271
2017/5/14 22:30:00,955.9261
2017/5/14 22:40:00,955.8979
2017/5/14 22:50:00,955.9174
2017/5/14 23:00:00,955.9588
2017/5/14 23:10:00,956.0932
2017/5/14 23:20:00,956.1052
2017/5/14 23:30:00,956.176
2017/5/14 23:40:00,956.2431
2017/5/14 23:50:00,956.3228
2017/5/15 0:00:00,956.2939
2017/5/15 0:10:00,956.1867
2017/5/15 0:20:00,956.1789
2017/5/15 0:30:00,956.1857
2017/5/15 0:40:00,956.1152
2017/5/15 0:50:00,955.9931
2017/5/15 1:00:00,955.9117
2017/5/15 1:10:00,955.8385
2017/5/15 1:20:00,955.8371
2017/5/15 1:30:00,955.8887
2017/5/15 1:40:00,955.9375
2017/5/15 1:50:00,955.9294
2017/5/15 2:00:00,955.951
2017/5/15 2:10:00,955.9687
2017/5/15 2:20:00,955.9185
2017/5/15 2:30:00,955.8819
2017/5/15 2:40:00,955.8738
2017/5/15 2:50:00,955.8873
2017/5/15 3:00:00,955.9348
2017/5/15 3:10:00,955.9158
2017/5/15 3:20:00,955.8317
2017/5/15 3:30:00,955.7286
2017/5/15 3:40:00,955.715
2017/5/15 3:50:00,955.5984
2017/5/15 4:00:00,955.532
2017/5/15 4:10:00,955.4669
2017/5/15 4:20:00,955.4059
2017/5/15 4:30:00,955.3774
2017/5/15 4:40:00,955.3353
2017/5/15 4:50:00,955.2947
2017/5/15 5:00:00,955.2458
2017/5/15 5:10:00,955.1631
2017/5/15 5:20:00,955.0316
2017/5/15 5:30:00,954.9705
2017/5/15 5:40:00,954.9773
2017/5/15 5:50:00,954.8987
2017/5/15 6:00:00,954.8729
2017/5/15 6:10:00,954.8065
2017/5/15 6:20:00,954.7441
2017/5/15 6:30:00,954.6424
2017/5/15 6:40:00,954.5488
2017/5/15 6:50:00,954.5203
2017/5/15 7:00:00,954.325
2017/5/15 7:10:00,954.1107
2017/5/15 7:20:00,953.9982
2017/5/15 7:30:00,953.9589
2017/5/15 7:40:00,953.8788
2017/5/15 7:50:00,953.8842
2017/5/15 8:00:00,953.8707
2017/5/15 8:10:00,953.8788
2017/5/15 8:20:00,953.887
2017/5/15 8:30:00,953.8992
2017/5/15 8:40:00,953.9222
2017/5/15 8:50:00,953.9697
2017/5/15 9:00:00,954.0294
2017/5/15 9:10:00,954.0863
2017/5/15 9:20:00,954.0917
2017/5/15 9:30:00,954.1338
2017/5/15 9:40:00,954.0728
2017/5/15 9:50:00,953.9832
2017/5/15 10:00:00,953.9337
2017/5/15 10:10:00,953.8178
2017/5/15 10:20:00,953.6948
2017/5/15 10:30:00,953.5561
2017/5/15 10:40:00,953.5486
2017/5/15 10:50:00,953.573
2017/5/15 11:00:00,953.5974
2017/5/15 11:10:00,953.6286
2017/5/15 11:20:00,953.6448
2017/5/15 11:30:00,953.653
2017/5/15 11:40:00,953.6136
2017/5/15 11:50:00,953.5825
2017/5/15 12:00:00,953.6679
2017/5/15 12:10:00,953.5906
2017/5/15 12:20:00,953.5052
2017/5/15 12:30:00,953.4903
2017/5/15 12:40:00,953.4659
2017/5/15 12:50:00,953.4361
2017/5/15 13:00:00,953.4523
2017/5/15 13:10:00,953.4564
2017/5/15 13:20:00,953.3344
2017/5/15 13:30:00,953.1581
2017/5/15 13:40:00,953.0524
2017/5/15 13:50:00,952.9872
2017/5/15 14:00:00,952.9059
2017/5/15 14:10:00,952.8435
2017/5/15 14:20:00,952.7201
2017/5/15 14:30:00,952.5818
2017/5/15 14:40:00,952.4693
2017/5/15 14:50:00,952.4042
2017/5/15 15:00:00,952.2686
2017/5/15 15:10:00,952.0869
2017/5/15 15:20:00,951.8795
2017/5/15 15:30:00,951.7249
2017/5/15 15:40:00,951.5784
2017/5/15 15:50:00,951.4564
2017/5/15 16:00:00,951.3073
2017/5/15 16:10:00,951.2354
2017/5/15 16:20:00,951.1324
2017/5/15 16:30:00,950.9764
2017/5/15 16:40:00,950.8869
2017/5/15 16:50:00,950.8055
2017/5/15 17:00:00,950.8083
2017/5/15 17:10:00,950.83
2017/5/15 17:20:00,950.7581
2017/5/15 17:30:00,950.7309
2017/5/15 17:40:00,950.4855
2017/5/15 17:50:00,950.2781
2017/5/15 18:00:00,950.2361
2017/5/15 18:10:00,950.1926
2017/5/15 18:20:00,950.1845
2017/5/15 18:30:00,950.2266
